,indices,data_values
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",63,0.5480231
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",64,0.5710155
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",65,0.54562896
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",66,0.53970104
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",67,0.54739463
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",68,0.5480271
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",69,0.54801005
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",70,0.54492635
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",71,0.53966045
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",72,0.53963345
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",73,0.5396805
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",74,0.5396686
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",75,0.5397035
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",76,0.5462381
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",77,0.5397242
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",78,0.5396744
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",79,0.54802525
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",80,0.5477858
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",81,0.5396766
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",82,0.54802686
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",83,0.5480236
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",84,0.546271
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",85,0.54984915
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",86,0.5508394
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",87,0.5480071
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",88,0.53969115
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",89,0.53966594
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",90,0.54801524
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",91,0.5474732
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",92,0.5477371
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",93,0.5471132
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",94,0.5396639
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",95,0.5396851
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",96,0.54802
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",97,0.5480309
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",98,0.53969735
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",99,0.53970057
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",100,0.539677
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",101,0.5396829
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",102,0.5480155
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",103,0.5471011
"LossVal_Evaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5)",104,0.5478052
